Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
A neoplastic progression model for oral cancer,167000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Foggia; University of Palermo; University of Naples Federico II; University of Bari Aldo Moro,University of Foggia; University of Palermo; University of Naples Federico II; University of Bari Aldo Moro,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,Cancer,,Oral Cavity and Lip Cancer,1.4 Cancer Progression and Metastasis,,,oral cancer progression
Preferences and fairness in contexts of exchange and sharing,90000.0,2007-01-01,2007.0,2009-01-01,2009.0,Ca' Foscari University of Venice; University of Naples Federico II; Luiss University; Bocconi University; University of Turin,Ca' Foscari University of Venice; University of Naples Federico II; Luiss University; Bocconi University; University of Turin,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,38 Economics; 3801 Applied Economics,,,,,,,,fairness in exchange
Molecular switches that control the homeostasis of metabolic and vascular systems,170000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Rome Tor Vergata; University of Naples Federico II; Magna Graecia University; University of Bari Aldo Moro; Sapienza University of Rome,University of Rome Tor Vergata; University of Naples Federico II; Magna Graecia University; University of Bari Aldo Moro; Sapienza University of Rome,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,,1.1 Normal biological development and functioning,,,,,molecular switch regulating metabolic and vascular homeostasis
Identification of new methodologies and the implementation of innovative instrumentation for the metrological qualification of electric meters operating also in non-sine-wave mode,195000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Campania Luigi Vanvitelli; University of L'Aquila; University of Cassino and Southern Lazio; University of Naples Federico II; University of Reggio Calabria,University of Campania Luigi Vanvitelli; University of L'Aquila; University of Cassino and Southern Lazio; University of Naples Federico II; University of Reggio Calabria,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4008 Electrical Engineering,,,,,,B12 Engineering,,metrology of electric meter
Jewish Thought and European Culture,62000.0,2007-01-01,2007.0,2009-01-01,2009.0,Sapienza University of Rome; University of Messina; University of Insubria; University of Naples Federico II,Sapienza University of Rome; University of Messina; University of Insubria; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,50 Philosophy and Religious Studies; 5004 Religious Studies,,,,,,,,jewish identity in europe
The Impact of Demographic Aging in Europe,71064.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Padua; Ca' Foscari University of Venice; University of Rome Tor Vergata; Bocconi University,University of Naples Federico II; University of Padua; Ca' Foscari University of Venice; University of Rome Tor Vergata; Bocconi University,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,aging europe's demographic
Pathophysiological mechanisms and possible therapeutic targets in vascular damage.,71628.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Florence; University of Perugia,University of Naples Federico II; University of Florence; University of Perugia,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 3404 Medicinal and Biomolecular Chemistry,,Cardiovascular,2.1 Biological and endogenous factors,,,,,vascular damage
Polymeric materials advanced by metallorganic catalysis,230000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Salerno; Ca' Foscari University of Venice; University of Naples Federico II,University of Salerno; Ca' Foscari University of Venice; University of Naples Federico II,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 3403 Macromolecular and Materials Chemistry,,,,,,,,metallorganic polymer
Institutional structures and interregional and international cooperation in the Mediterranean area. Security and Conflict; terrorists and legitimate combatants; migration flows and asylum. Institutional and juridical profiles and relative critical aspects.,65170.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Salerno; University of Messina; Sapienza University of Rome,University of Naples Federico II; University of Salerno; University of Messina; Sapienza University of Rome,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,44 Human Society; 4403 Demography,,,,,,C18 Law,"16 Peace, Justice and Strong Institutions",mediterranean security
Optimization of digestive-absorption functions in children with intestinal insufficiency.,65000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II,University of Naples Federico II,Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 49 Mathematical Sciences; 4903 Numerical and Computational Mathematics,,,,,,,,optimizing gi in kid
The neurotransmitter receptor systems,343000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Bologna; University of Florence; University of Camerino; University of Naples Federico II; University of Siena,University of Bologna; University of Florence; University of Camerino; University of Naples Federico II; University of Siena,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 49 Mathematical Sciences; 4901 Applied Mathematics,,,,,,,,receptor role
Molecular mechanisms of chemoresistance and invasiveness of cancer stem cells,169300.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Eastern Piedmont Amadeo Avogadro; University of Naples Federico II; University of Palermo; Marche Polytechnic University,University of Eastern Piedmont Amadeo Avogadro; University of Naples Federico II; University of Palermo; Marche Polytechnic University,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology; 32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,Cancer,,Not Site-Specific Cancer,1.4 Cancer Progression and Metastasis,,,cancer stem cell chemoresistance and invasiveness
Nuove strategie in Bioingegneria dei tessuti oro-maxillo-facciali mediante cellule staminali mesenchimali post-natali,165000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Bari Aldo Moro; Marche Polytechnic University; University of Naples Federico II; University of Foggia; University of Chieti-Pescara,University of Bari Aldo Moro; Marche Polytechnic University; University of Naples Federico II; University of Foggia; University of Chieti-Pescara,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3206 Medical Biotechnology; 40 Engineering,,,,,,,,cellule staminali oro-maxillo-facciali
Tensions and Variations in English Sectoral Genres,77000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Bergamo; University of Milan; University of Turin; University of Naples Federico II; Foro Italico University of Rome,University of Bergamo; University of Milan; University of Turin; University of Naples Federico II; Foro Italico University of Rome,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"47 Language, Communication and Culture; 4703 Language Studies; 4704 Linguistics",,,,,,,,variation in english sector
Mediterranean places,192000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Reggio Calabria; Politecnico di Milano; University of Naples Federico II; University of Campania Luigi Vanvitelli,University of Reggio Calabria; Politecnico di Milano; University of Naples Federico II; University of Campania Luigi Vanvitelli,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,33 Built Environment and Design; 3301 Architecture,,,,,,,,mediterranean town
Receptors for Growth Factors and Their Route of Transduction as targets for targeted therapies in oncology,163000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Turin; National Research Council; University of Milan; University of Naples Federico II,University of Turin; National Research Council; University of Milan; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,,,Not Site-Specific Cancer,5.3 Systemic Therapies - Discovery and Development,,,targeted oncology
Investigations on Ixodidae ticks,120000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Milan; University of Parma; University of Naples Federico II; Sapienza University of Rome,University of Milan; University of Parma; University of Naples Federico II; Sapienza University of Rome,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 31 Biological Sciences; 3107 Microbiology",,,,,,,,tick ixodidae
Methodologies and tools for assessing consonance in the context of strategic business decisions,86000.0,2007-01-01,2007.0,2009-01-01,2009.0,Sapienza University of Rome; University of Foggia; University of Naples Federico II; National Research Council; University of Genoa,Sapienza University of Rome; University of Foggia; University of Naples Federico II; National Research Council; University of Genoa,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour",,,,,,,,assessing consonance
Evaluation of therapeutic efficacy of melanocortinic agonists in preclinical models of vascular or traumatic cerebral injury,120000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Milan; University of Modena and Reggio Emilia; University of Naples Federico II; University of Messina,University of Milan; University of Modena and Reggio Emilia; University of Naples Federico II; University of Messina,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 52 Psychology; 5203 Clinical and Health Psychology,,Injuries and accidents,5.1 Pharmaceuticals; 5.2 Cellular and gene therapies,,,,,therapeutic efficacy of melanocortin agonist in cerebral injury
Functional studies of X-linked mental retardation in in vivo and in vitro models,126000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Insubria; National Research Council,University of Naples Federico II; University of Insubria; National Research Council,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,52 Psychology; 5204 Cognitive and Computational Psychology,,Mental health,,,,,,x-linked mr
Catholicisms in the seventeenth century,38000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Parma; University of Naples Federico II,University of Parma; University of Naples Federico II,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"43 History, Heritage and Archaeology; 4303 Historical Studies; 50 Philosophy and Religious Studies; 5002 History and Philosophy Of Specific Fields",,,,,,,,catholicism in 17th century
